gamma,max corr,mean corr,mean lf ac,mean lf cc
0.08,0.3136546855858836,0.07763948190051352,0.00023621006606093717,1.8541751308051855e-06
0.081,0.3633439707221164,0.09805530037567188,0.0002446967992715605,2.2614338594950363e-06
0.082,0.33410095424934566,0.10553633084294126,0.0002379810623944206,2.1343503344998353e-06
0.083,0.3557393035220704,0.12256029882863281,0.00024975301050225544,3.749151385157763e-06
0.084,0.37336806334214295,0.13355750428292767,0.00024940871534741835,4.423307891456287e-06
0.085,0.3879013524109951,0.1458074083274475,0.00027498961610804333,5.971409837329389e-06
0.08600000000000001,0.41794519174405365,0.14993295504562604,0.00027253134230425787,5.789385438628467e-06
0.08700000000000001,0.4046032947134409,0.18656076955019943,0.00029342417000688387,8.776098205790004e-06
0.08800000000000001,0.460650300540258,0.20232610139834584,0.00029250440905983675,1.210121759311793e-05
0.08900000000000001,0.4993284050992794,0.26916912442957197,0.00033340414534143505,2.118434361661414e-05
0.09000000000000001,0.5130313256186687,0.2648586240908158,0.00034993612754639507,2.5406664966782254e-05
0.09100000000000001,0.5616243457840905,0.3392699553206814,0.0003927400945805446,3.933295750489719e-05
0.09200000000000001,0.5899629503905114,0.3518172323585576,0.0004227073500093138,4.608538024958751e-05
0.09300000000000001,0.6278190253503748,0.41862302590056977,0.0004991713783088117,8.622216901929396e-05
0.09400000000000001,0.6967568045173799,0.47232720345168305,0.0006657335248271757,0.0001716110813632276
0.09500000000000001,0.7467564686791868,0.5647877082548728,0.0009596643164180585,0.00028961694303719296
0.09600000000000002,0.7802493811992803,0.6432259655839635,0.001305708259029714,0.0005434457937708746
0.09700000000000002,0.8880707476661329,0.7722275071440969,0.0033033257280137528,0.00201181954811995
0.09800000000000002,0.9109504028997651,0.8133995194182647,0.003803452697728449,0.002364932723170062
0.09900000000000002,0.9647567202254016,0.9292212859147463,0.01790629117557089,0.014599203835846713
